Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
26.4,0.6992058987801011,25.0,27.0,64.5,2.0138409955990952,61.0,67.0,148.1,34.818417859262674,100.0,181.0,20.0,0.6666666666666666,19.0,21.0,chick
26.1,0.9944289260117533,24.0,27.0,64.3,1.4944341180973262,62.0,67.0,169.4,22.1017847444248,107.0,181.0,19.9,0.737864787372622,19.0,21.0,chick
25.2,0.9189365834726815,24.0,27.0,62.7,0.9486832980505138,61.0,64.0,161.7,25.617051612809256,111.0,178.0,19.9,0.5676462121975466,19.0,21.0,chick
24.9,0.5676462121975466,24.0,26.0,62.0,0.816496580927726,61.0,63.0,136.8,24.224872434017986,111.0,173.0,20.4,0.5163977794943222,20.0,21.0,chick
25.3,1.1595018087284057,24.0,28.0,62.4,0.9660917830792958,61.0,64.0,132.1,18.405615085257722,117.0,177.0,20.8,0.6324555320336758,20.0,22.0,chick
25.3,1.1595018087284057,24.0,28.0,63.6,0.9660917830792959,62.0,65.0,161.9,30.01647695664648,117.0,190.0,21.1,0.5676462121975466,20.0,22.0,chick
25.3,0.9486832980505138,24.0,27.0,64.3,1.1595018087284057,62.0,66.0,184.0,3.0912061651652345,181.0,190.0,21.0,0.4714045207910317,20.0,22.0,chick
25.4,0.966091783079296,24.0,27.0,64.5,1.1785113019775793,62.0,66.0,182.7,1.7029386365926402,181.0,186.0,20.7,0.6749485577105528,20.0,22.0,chick
25.5,0.7071067811865476,24.0,26.0,65.3,1.2516655570345725,63.0,68.0,180.0,3.366501646120693,176.0,186.0,20.5,0.7071067811865476,20.0,22.0,chick
25.8,0.4216370213557839,25.0,26.0,65.2,1.2292725943057181,64.0,68.0,172.6,6.535373831014652,158.0,179.0,20.4,0.5163977794943222,20.0,21.0,chick
25.7,0.48304589153964794,25.0,26.0,64.6,0.699205898780101,64.0,66.0,173.2,7.238784428341544,158.0,182.0,20.3,0.674948557710553,19.0,21.0,chick
25.7,0.9486832980505139,24.0,27.0,65.4,1.07496769977314,64.0,67.0,179.2,2.7406406388125952,176.0,183.0,20.1,0.5676462121975466,19.0,21.0,chick
26.1,1.1005049346146119,24.0,27.0,66.1,1.1005049346146119,65.0,68.0,180.6,2.4585451886114362,176.0,184.0,19.9,0.7378647873726218,18.0,21.0,chick
26.4,0.6992058987801011,25.0,27.0,66.0,1.0540925533894598,65.0,68.0,177.6,4.351245032554858,171.0,184.0,20.3,0.9486832980505139,18.0,21.0,chick
26.1,0.5676462121975466,25.0,27.0,65.7,0.8232726023485645,65.0,67.0,177.1,3.8427420765212266,171.0,182.0,20.7,0.48304589153964794,20.0,21.0,chick
25.7,0.8232726023485646,24.0,27.0,65.7,0.6749485577105528,65.0,67.0,180.2,1.6865480854231356,177.0,182.0,21.1,0.737864787372622,20.0,22.0,chick
25.4,0.8432740427115679,24.0,27.0,66.2,0.6324555320336759,65.0,67.0,177.6,3.1340424729448424,172.0,182.0,21.4,0.5163977794943222,21.0,22.0,chick
25.2,0.6324555320336759,24.0,26.0,66.4,0.5163977794943222,66.0,67.0,174.5,2.5055493963954847,169.0,177.0,21.1,0.5676462121975466,20.0,22.0,chick
25.2,0.6324555320336758,24.0,26.0,66.3,0.6749485577105528,65.0,67.0,172.4,2.951459149490488,168.0,177.0,20.9,0.5676462121975466,20.0,22.0,chick
25.2,0.6324555320336759,24.0,26.0,66.0,1.0540925533894598,64.0,67.0,169.3,2.0575065816014617,167.0,173.0,21.2,0.6324555320336759,20.0,22.0,chick
24.6,1.5055453054181622,22.0,26.0,57.8,8.310635755865292,48.0,67.0,141.0,28.998084227908727,103.0,169.0,36.4,16.547574511759183,21.0,63.0,chick
23.4,1.4298407059684812,22.0,26.0,48.8,1.6193277068654823,47.0,51.0,113.9,8.198238293140246,103.0,125.0,44.7,9.274217547109357,31.0,63.0,chick
21.7,1.4181364924121764,19.0,23.0,46.7,1.5670212364724212,44.0,48.0,126.9,24.191137036342692,106.0,170.0,33.7,5.716448003592596,27.0,42.0,chick
20.4,1.1737877907772674,19.0,22.0,44.7,1.7029386365926402,43.0,48.0,158.8,28.506529466461227,107.0,188.0,29.2,1.4757295747452437,27.0,32.0,chick
21.6,2.1705094128132942,19.0,26.0,44.8,1.7511900715418263,43.0,49.0,178.1,20.217978797759844,154.0,223.0,29.8,1.398411797560202,28.0,31.0,chick
26.7,4.321779468896786,21.0,32.0,46.5,2.273030282830976,44.0,50.0,247.1,85.87387392113052,154.0,361.0,31.2,1.9888578520235063,28.0,36.0,chick
30.4,1.776388345929897,27.0,32.0,45.7,2.4060109910158114,44.0,50.0,331.8,59.9014004659138,202.0,404.0,31.6,1.712697677155351,30.0,36.0,chick
28.3,2.584139659108575,25.0,32.0,43.3,1.3374935098492586,42.0,46.0,300.2,63.825804603885196,241.0,404.0,30.6,0.966091783079296,29.0,32.0,chick
25.8,0.7888106377466155,25.0,27.0,41.8,0.6324555320336759,41.0,43.0,240.0,20.325134959234862,207.0,272.0,30.0,0.4714045207910317,29.0,31.0,chick
25.4,0.5163977794943222,25.0,26.0,41.8,0.7888106377466155,41.0,43.0,213.5,20.106660035365838,198.0,252.0,30.1,0.7378647873726218,29.0,32.0,chick
25.5,0.5270462766947299,25.0,26.0,41.9,0.7378647873726218,41.0,43.0,198.8,2.2997584414213783,193.0,201.0,29.9,1.1005049346146119,28.0,32.0,chick
25.4,0.5163977794943222,25.0,26.0,41.9,0.8755950357709131,41.0,44.0,207.4,12.729667884294722,193.0,236.0,30.2,1.0327955589886444,28.0,31.0,chick
25.2,0.6324555320336759,24.0,26.0,42.4,0.8432740427115679,41.0,44.0,227.2,19.78663971247041,201.0,251.0,30.7,0.48304589153964794,30.0,31.0,chick
25.5,0.7071067811865476,24.0,26.0,42.6,0.6992058987801011,41.0,43.0,240.1,14.216187955988765,201.0,251.0,30.1,0.9944289260117533,28.0,31.0,chick
25.9,0.5676462121975466,25.0,27.0,42.8,0.7888106377466153,41.0,44.0,238.1,5.626327003965869,228.0,245.0,28.9,1.5951314818673865,26.0,31.0,chick
26.0,0.6666666666666666,25.0,27.0,42.9,0.5676462121975466,42.0,44.0,229.6,6.003702561290362,223.0,239.0,28.5,2.068278940998476,25.0,31.0,chick
25.5,0.97182531580755,24.0,27.0,42.8,0.4216370213557839,42.0,43.0,228.2,8.573862088412149,214.0,244.0,29.4,2.1705094128132942,25.0,32.0,chick
24.5,0.97182531580755,23.0,26.0,42.6,0.5163977794943222,42.0,43.0,193.7,43.853417452032424,138.0,244.0,28.1,2.4698178070456938,25.0,32.0,chick
23.9,0.7378647873726218,23.0,25.0,41.8,0.9189365834726814,40.0,43.0,160.1,29.730082034494586,129.0,202.0,26.0,0.9428090415820634,25.0,28.0,chick
23.7,0.6749485577105528,23.0,25.0,41.4,0.6992058987801011,40.0,42.0,152.2,28.46752535785294,124.0,201.0,25.9,0.737864787372622,25.0,27.0,chick
23.7,0.4830458915396479,23.0,24.0,41.7,0.4830458915396479,41.0,42.0,126.7,17.410405573168656,110.0,158.0,26.1,0.5676462121975466,25.0,27.0,chick
24.0,0.6666666666666666,23.0,25.0,42.0,0.816496580927726,41.0,43.0,111.9,2.64365067451978,109.0,117.0,26.6,0.9660917830792959,26.0,29.0,chick
23.8,0.7888106377466156,23.0,25.0,42.4,1.07496769977314,41.0,44.0,110.6,1.2649110640673515,109.0,113.0,27.2,1.1352924243950933,26.0,29.0,chick
23.2,0.7888106377466155,22.0,24.0,42.5,0.8498365855987975,41.0,44.0,112.0,2.5385910352879693,110.0,117.0,27.3,0.9486832980505139,26.0,29.0,chick
23.1,0.8755950357709131,22.0,24.0,43.0,0.816496580927726,42.0,44.0,112.6,3.2386554137309647,106.0,117.0,27.2,1.398411797560202,25.0,30.0,chick
