Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
53.5,0.7071067811865476,52.0,54.0,68.9,1.1005049346146119,67.0,71.0,300.8,3.3598941782277736,296.0,306.0,87.5,0.8498365855987975,86.0,89.0,paper
53.7,0.6749485577105528,52.0,54.0,68.3,1.2516655570345725,67.0,70.0,302.7,4.164666186436128,296.0,307.0,87.6,0.6992058987801011,87.0,89.0,paper
53.7,0.4830458915396479,53.0,54.0,68.1,1.1005049346146116,67.0,70.0,305.6,2.6331223544175333,301.0,309.0,87.2,1.0327955589886444,85.0,88.0,paper
53.3,0.4830458915396479,53.0,54.0,68.6,0.8432740427115678,67.0,70.0,301.3,10.812030336620406,272.0,309.0,87.3,1.1595018087284057,85.0,89.0,paper
53.4,0.8432740427115678,52.0,55.0,68.9,0.7378647873726218,68.0,70.0,279.6,21.329166259686133,250.0,308.0,87.2,0.9189365834726814,86.0,89.0,paper
53.5,0.8498365855987975,52.0,55.0,69.4,0.8432740427115678,68.0,70.0,256.7,8.756584823878416,245.0,269.0,86.3,1.0593499054713802,84.0,87.0,paper
52.8,0.6324555320336759,52.0,54.0,69.9,0.31622776601683794,69.0,70.0,252.8,4.825856285561028,245.0,261.0,85.8,1.2292725943057183,84.0,87.0,paper
52.9,0.8755950357709131,52.0,54.0,69.7,0.4830458915396479,69.0,70.0,260.2,6.62989860824097,252.0,269.0,83.6,2.5473297566057065,80.0,87.0,paper
52.8,1.0327955589886444,51.0,54.0,69.4,0.8432740427115678,68.0,71.0,266.7,5.907622195096772,259.0,279.0,81.2,1.5491933384829668,79.0,84.0,paper
51.9,0.7378647873726218,51.0,53.0,69.7,1.0593499054713802,68.0,71.0,261.0,10.219806477837261,241.0,279.0,80.9,1.3703203194062976,79.0,83.0,paper
51.7,0.6749485577105528,51.0,53.0,69.7,0.8232726023485645,69.0,71.0,256.1,6.136412270663986,241.0,261.0,83.5,2.9533408577782247,79.0,87.0,paper
51.6,0.9660917830792959,50.0,53.0,69.1,0.5676462121975467,68.0,70.0,255.4,4.5995168828427575,247.0,261.0,86.9,1.4491376746189435,84.0,89.0,paper
51.0,1.0540925533894598,50.0,53.0,69.4,0.6992058987801011,68.0,70.0,250.0,4.396968652757639,245.0,257.0,87.5,0.8498365855987975,87.0,89.0,paper
50.9,0.737864787372622,50.0,52.0,70.0,0.6666666666666666,69.0,71.0,249.0,4.422166387140534,244.0,256.0,87.2,0.7888106377466155,86.0,88.0,paper
51.1,0.7378647873726217,50.0,52.0,70.4,0.8432740427115678,69.0,72.0,252.9,5.445691467165171,244.0,264.0,87.4,0.8432740427115678,86.0,88.0,paper
50.9,0.8755950357709131,50.0,52.0,70.6,0.8432740427115678,70.0,72.0,250.2,7.757433710820723,238.0,264.0,87.4,0.6992058987801011,86.0,88.0,paper
50.9,0.737864787372622,50.0,52.0,70.6,1.0749676997731399,69.0,72.0,245.9,6.41958807955083,236.0,256.0,86.8,0.7888106377466154,86.0,88.0,paper
51.4,0.8432740427115678,50.0,53.0,70.6,0.9660917830792958,69.0,72.0,245.1,5.6460408940936455,234.0,252.0,86.7,0.8232726023485646,86.0,88.0,paper
51.6,0.8432740427115678,50.0,53.0,70.6,0.5163977794943222,70.0,71.0,233.6,12.001851708984095,220.0,248.0,86.8,0.7888106377466154,86.0,88.0,paper
51.4,0.8432740427115679,50.0,52.0,70.4,0.6992058987801011,69.0,71.0,222.9,2.4698178070456938,220.0,227.0,86.3,0.6749485577105528,85.0,87.0,paper
51.5,0.7071067811865476,50.0,52.0,70.2,1.0327955589886444,68.0,71.0,223.0,2.0548046676563256,221.0,226.0,86.1,1.1005049346146119,84.0,88.0,paper
51.5,0.5270462766947299,51.0,52.0,70.0,0.9428090415820634,68.0,71.0,221.7,3.591656999213594,217.0,227.0,85.2,1.4757295747452437,84.0,88.0,paper
51.3,0.6749485577105528,50.0,52.0,69.5,0.7071067811865476,68.0,70.0,220.9,5.10881590977792,217.0,231.0,84.4,0.5163977794943222,84.0,85.0,paper
51.4,0.6992058987801011,50.0,52.0,69.8,0.9189365834726814,68.0,71.0,225.3,6.092800852007411,217.0,232.0,85.0,0.6666666666666666,84.0,86.0,paper
51.8,0.4216370213557839,51.0,52.0,70.0,0.6666666666666666,69.0,71.0,225.8,5.308274463305168,217.0,232.0,85.2,0.4216370213557839,85.0,86.0,paper
51.9,0.5676462121975466,51.0,53.0,69.7,0.4830458915396479,69.0,70.0,212.6,11.78699848703364,195.0,231.0,85.2,0.7888106377466155,84.0,87.0,paper
51.6,0.8432740427115678,50.0,53.0,69.6,0.5163977794943222,69.0,70.0,219.3,24.12951166794167,195.0,263.0,86.0,1.0540925533894598,84.0,87.0,paper
