Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
72.7,0.6749485577105528,72.0,74.0,395.1,5.216427044549852,389.0,403.0,285.9,27.989879123235482,238.0,332.0,22.7,0.4830458915396479,22.0,23.0,rock
72.1,0.5676462121975467,71.0,73.0,392.3,3.8311588035185613,388.0,402.0,285.4,15.643244903507428,254.0,305.0,22.1,0.5676462121975466,21.0,23.0,rock
71.8,0.6324555320336758,71.0,73.0,389.9,2.4244128727957577,387.0,394.0,255.2,27.788086975856718,223.0,297.0,22.2,0.6324555320336759,21.0,23.0,rock
71.9,0.7378647873726218,71.0,73.0,389.4,2.2211108331943574,387.0,394.0,235.5,9.371943946339698,223.0,252.0,22.3,0.48304589153964794,22.0,23.0,rock
72.2,0.7888106377466154,71.0,73.0,388.4,2.547329756605707,385.0,394.0,257.4,22.40634830677334,231.0,301.0,21.9,0.3162277660168379,21.0,22.0,rock
72.1,0.7378647873726218,71.0,73.0,389.8,6.303438215238835,385.0,407.0,278.1,11.049886877249014,265.0,301.0,22.0,0.4714045207910317,21.0,23.0,rock
72.1,0.7378647873726218,71.0,73.0,390.3,7.087547765859031,378.0,407.0,282.0,3.0550504633038935,278.0,288.0,22.4,0.5163977794943222,22.0,23.0,rock
72.5,0.8498365855987975,71.0,74.0,383.7,5.774464862170732,377.0,393.0,287.5,5.797509043642029,282.0,299.0,22.4,0.5163977794943222,22.0,23.0,rock
72.3,0.9486832980505138,71.0,74.0,381.0,2.1081851067789197,377.0,384.0,292.2,4.104198392432369,286.0,299.0,22.5,0.5270462766947299,22.0,23.0,rock
71.8,0.6324555320336758,71.0,73.0,383.8,1.9888578520235065,381.0,386.0,289.4,5.719362823873924,282.0,296.0,22.6,0.5163977794943222,22.0,23.0,rock
72.3,1.2516655570345725,71.0,75.0,386.5,1.35400640077266,384.0,388.0,298.8,34.80038313965331,266.0,370.0,22.5,0.5270462766947299,22.0,23.0,rock
73.7,1.4944341180973264,71.0,75.0,394.1,7.549098548097573,387.0,406.0,331.5,38.89372985742332,266.0,370.0,22.2,0.7888106377466155,21.0,23.0,rock
74.4,0.6992058987801011,73.0,75.0,399.3,3.529242915351046,393.0,406.0,352.6,5.910442735813732,345.0,364.0,22.1,0.737864787372622,21.0,23.0,rock
73.9,0.8755950357709131,72.0,75.0,397.8,1.0327955589886446,397.0,400.0,351.0,3.4318767136623336,345.0,356.0,22.4,0.5163977794943222,22.0,23.0,rock
73.9,0.8755950357709131,72.0,75.0,397.4,0.8432740427115678,396.0,399.0,348.3,2.359378449224852,344.0,351.0,22.7,0.483045891539648,22.0,23.0,rock
74.0,0.6666666666666666,73.0,75.0,396.2,2.0976176963403033,392.0,398.0,347.8,2.3475755815545343,344.0,351.0,22.8,0.4216370213557839,22.0,23.0,rock
42.8,33.00101008555142,7.0,74.0,262.3,144.4799486280209,81.0,398.0,186.2,170.20236321639146,19.0,350.0,26.1,5.2588549662027715,22.0,36.0,rock
9.4,5.274677451960661,6.0,22.0,107.4,42.340419354455044,80.0,194.0,21.8,5.827139568909908,17.0,33.0,29.0,3.8873012632302,24.0,36.0,rock
7.1,0.5676462121975466,6.0,8.0,85.5,3.3747427885527643,80.0,90.0,18.0,1.632993161855452,16.0,22.0,31.8,3.823901439919996,26.0,37.0,rock
7.6,0.6992058987801011,7.0,9.0,84.0,2.6666666666666665,80.0,89.0,17.5,0.8498365855987975,16.0,19.0,35.6,1.2649110640673515,33.0,37.0,rock
8.0,0.6666666666666666,7.0,9.0,81.1,1.9692073983655904,79.0,84.0,17.4,1.0749676997731399,15.0,19.0,35.7,0.9486832980505138,34.0,37.0,rock
8.1,0.5676462121975466,7.0,9.0,78.5,3.0276503540974917,74.0,83.0,16.9,1.1005049346146119,15.0,18.0,34.5,1.4337208778404378,32.0,36.0,rock
8.1,0.3162277660168379,8.0,9.0,75.5,3.7490739597339973,70.0,83.0,17.0,1.247219128924647,15.0,19.0,34.5,1.35400640077266,32.0,36.0,rock
8.0,0.0,8.0,8.0,72.6,2.4585451886114362,70.0,77.0,17.3,1.2516655570345723,15.0,19.0,35.3,0.4830458915396479,35.0,36.0,rock
7.8,0.4216370213557839,7.0,8.0,74.3,4.001388647846033,71.0,82.0,17.7,0.9486832980505138,16.0,19.0,36.6,1.837873166945363,35.0,40.0,rock
7.5,0.7071067811865476,6.0,8.0,78.7,3.0203016773531455,72.0,82.0,17.3,0.9486832980505139,16.0,19.0,38.2,1.3984117975602022,36.0,40.0,rock
