Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
28.1,0.5676462121975466,27.0,29.0,40.5,1.0801234497346435,38.0,42.0,158.6,1.7126976771553504,156.0,161.0,72.6,0.8432740427115678,71.0,74.0,start2
28.2,0.6324555320336759,27.0,29.0,40.5,0.7071067811865476,40.0,42.0,162.2,5.138093031466052,156.0,171.0,72.8,1.1352924243950933,71.0,75.0,start2
28.3,0.6749485577105528,27.0,29.0,40.2,0.9189365834726814,39.0,42.0,166.5,3.6590830666833583,160.0,171.0,75.4,2.796823595120404,72.0,79.0,start2
28.3,0.6749485577105528,27.0,29.0,40.0,0.816496580927726,39.0,41.0,164.8,3.457680661303984,158.0,169.0,75.9,2.884826203122507,72.0,79.0,start2
28.6,0.6992058987801011,28.0,30.0,40.3,0.6749485577105528,39.0,41.0,161.7,2.4060109910158114,158.0,165.0,76.5,3.2744804507314167,72.0,80.0,start2
28.3,0.8232726023485647,27.0,30.0,39.9,0.7378647873726218,39.0,41.0,161.0,2.1081851067789197,158.0,164.0,79.0,0.9428090415820634,78.0,81.0,start2
28.0,0.6666666666666666,27.0,29.0,39.6,0.5163977794943222,39.0,40.0,161.3,2.496664441476534,158.0,165.0,78.7,1.0593499054713802,77.0,81.0,start2
28.4,0.6992058987801011,27.0,29.0,39.7,0.4830458915396479,39.0,40.0,163.7,2.9458068127047596,158.0,167.0,77.9,0.8755950357709131,77.0,79.0,start2
28.4,0.6992058987801011,27.0,29.0,39.3,1.0593499054713802,38.0,41.0,165.4,1.3498971154211057,163.0,167.0,76.1,1.5238839267549946,74.0,78.0,start2
28.1,0.7378647873726218,27.0,29.0,39.4,1.2649110640673515,38.0,41.0,165.2,1.0327955589886444,164.0,167.0,74.6,0.9660917830792958,73.0,76.0,start2
28.6,0.6992058987801011,27.0,29.0,39.9,0.8755950357709134,38.0,41.0,165.3,1.1595018087284057,163.0,167.0,74.5,0.8498365855987975,73.0,76.0,start2
28.8,0.4216370213557839,28.0,29.0,39.5,1.0801234497346435,37.0,41.0,165.1,1.6633299933166197,162.0,167.0,75.2,0.9189365834726814,74.0,77.0,start2
28.7,0.48304589153964794,28.0,29.0,39.0,1.0540925533894598,37.0,40.0,164.3,1.4944341180973264,162.0,167.0,75.4,0.8432740427115678,74.0,77.0,start2
28.0,0.9428090415820634,27.0,29.0,40.1,1.4491376746189437,38.0,42.0,162.7,1.8287822299126937,159.0,165.0,75.0,1.0540925533894598,74.0,77.0,start2
27.7,0.6749485577105528,27.0,29.0,40.8,0.7888106377466154,40.0,42.0,162.3,2.0027758514399734,159.0,165.0,75.4,1.646545204697129,74.0,79.0,start2
27.9,0.7378647873726218,27.0,29.0,40.3,0.4830458915396479,40.0,41.0,162.5,2.273030282830976,158.0,165.0,75.7,1.6363916944844772,74.0,79.0,start2
27.5,0.97182531580755,26.0,29.0,39.6,0.6992058987801011,39.0,41.0,162.1,1.9692073983655904,158.0,165.0,75.4,1.3498971154211057,74.0,78.0,start2
27.8,0.9189365834726815,26.0,29.0,38.8,0.6324555320336759,38.0,40.0,164.3,2.496664441476534,161.0,168.0,75.4,1.0749676997731399,74.0,77.0,start2
27.9,0.5676462121975466,27.0,29.0,38.4,0.8432740427115678,37.0,40.0,166.3,1.2516655570345725,164.0,168.0,74.9,0.9944289260117531,74.0,77.0,start2
27.6,0.6992058987801011,27.0,29.0,38.2,0.9189365834726814,37.0,40.0,162.9,3.8715486421958962,158.0,168.0,74.4,0.6992058987801011,73.0,75.0,start2
26.7,1.8287822299126937,22.0,29.0,37.9,0.8755950357709134,37.0,40.0,160.6,2.9514591494904874,158.0,167.0,74.6,1.3498971154211057,73.0,77.0,start2
26.3,1.567021236472421,22.0,27.0,37.6,0.5163977794943222,37.0,38.0,163.7,3.433495141818157,158.0,168.0,75.2,1.5491933384829666,73.0,77.0,start2
