Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
49.3,0.8232726023485645,48.0,51.0,28.7,0.674948557710553,28.0,30.0,232.4,23.773000558523435,205.0,261.0,13.7,0.674948557710553,13.0,15.0,stick
49.2,0.6324555320336758,49.0,51.0,28.9,0.7378647873726218,28.0,30.0,208.5,5.522680508593631,201.0,218.0,13.6,0.8432740427115678,12.0,15.0,stick
49.3,0.9486832980505137,48.0,51.0,29.8,1.0327955589886444,28.0,31.0,204.5,5.681353516353104,196.0,212.0,13.6,0.8432740427115678,12.0,15.0,stick
49.5,0.8498365855987975,48.0,51.0,30.5,0.7071067811865476,30.0,32.0,199.5,5.986094998689324,193.0,211.0,13.4,0.6992058987801009,13.0,15.0,stick
49.2,1.0327955589886444,47.0,50.0,31.9,2.1832697191750423,30.0,36.0,204.5,9.25262725452134,193.0,216.0,12.9,0.31622776601683794,12.0,13.0,stick
48.3,0.9486832980505137,47.0,50.0,34.5,2.0138409955990952,31.0,37.0,215.0,4.189935029992179,209.0,223.0,13.1,0.5676462121975466,12.0,14.0,stick
47.9,0.5676462121975466,47.0,49.0,35.1,1.1005049346146116,34.0,37.0,217.4,4.221637386396684,211.0,223.0,13.4,0.5163977794943223,13.0,14.0,stick
48.3,0.8232726023485645,47.0,50.0,34.5,0.7071067811865476,33.0,35.0,218.2,3.76533899905145,211.0,222.0,13.5,0.5270462766947299,13.0,14.0,stick
48.8,0.6324555320336758,48.0,50.0,34.2,0.7888106377466154,33.0,35.0,213.3,8.641630504585219,200.0,223.0,13.4,0.699205898780101,12.0,14.0,stick
48.7,0.48304589153964794,48.0,49.0,34.0,1.247219128924647,33.0,37.0,207.7,6.464432603785804,200.0,223.0,13.1,0.7378647873726218,12.0,14.0,stick
48.3,0.8232726023485646,47.0,49.0,35.2,1.7511900715418263,33.0,37.0,202.3,9.61538119658059,185.0,212.0,13.0,0.6666666666666666,12.0,14.0,stick
48.0,0.816496580927726,47.0,49.0,38.7,2.7507574714370344,36.0,43.0,190.6,10.458383134011575,179.0,210.0,13.0,0.4714045207910317,12.0,14.0,stick
47.8,0.6324555320336758,47.0,49.0,41.9,1.7288403306519922,38.0,44.0,183.7,3.368151487751767,179.0,190.0,13.1,0.31622776601683794,13.0,14.0,stick
47.5,0.8498365855987975,46.0,49.0,41.8,1.398411797560202,40.0,44.0,168.2,16.544888435203585,148.0,188.0,13.0,0.6666666666666666,12.0,14.0,stick
47.5,0.97182531580755,46.0,49.0,40.8,0.7888106377466154,40.0,42.0,152.8,8.066391179868893,144.0,170.0,12.9,0.5676462121975466,12.0,14.0,stick
47.8,0.9189365834726814,47.0,49.0,41.8,1.3165611772087666,40.0,44.0,166.1,15.98923248800753,144.0,182.0,12.8,0.4216370213557839,12.0,13.0,stick
48.0,0.6666666666666666,47.0,49.0,42.6,0.8432740427115679,42.0,44.0,179.7,2.057506581601462,177.0,183.0,12.7,0.48304589153964794,12.0,13.0,stick
48.0,0.4714045207910317,47.0,49.0,43.0,1.1547005383792515,42.0,45.0,171.4,13.566298111291983,147.0,183.0,12.5,0.7071067811865476,11.0,13.0,stick
47.8,0.6324555320336758,47.0,49.0,43.2,1.0327955589886444,42.0,45.0,154.9,13.690629398728655,143.0,180.0,12.5,0.7071067811865476,11.0,13.0,stick
48.1,0.8755950357709131,47.0,50.0,42.9,0.737864787372622,42.0,44.0,147.5,2.718251071716682,143.0,151.0,12.4,0.699205898780101,11.0,13.0,stick
48.5,0.8498365855987975,47.0,50.0,43.9,1.1972189997378648,42.0,46.0,161.0,17.869900204906948,145.0,192.0,12.3,0.6749485577105528,11.0,13.0,stick
47.9,0.8755950357709131,47.0,49.0,45.3,1.2516655570345725,44.0,48.0,173.8,13.878840809744244,154.0,192.0,12.4,0.5163977794943223,12.0,13.0,stick
47.6,0.9660917830792959,47.0,50.0,45.2,1.3165611772087666,44.0,48.0,175.9,8.184674024595536,159.0,183.0,12.5,0.7071067811865476,12.0,14.0,stick
47.9,1.1005049346146116,47.0,50.0,44.7,0.9486832980505138,43.0,46.0,180.5,4.478342947514801,170.0,185.0,12.6,0.699205898780101,12.0,14.0,stick
58.6,11.197221877670273,47.0,70.0,40.3,4.831608887776871,35.0,46.0,209.5,28.11187965572167,181.0,246.0,12.5,0.5270462766947299,12.0,13.0,stick
69.7,0.6749485577105528,69.0,71.0,35.2,0.9189365834726814,34.0,37.0,237.1,9.97162641364654,228.0,260.0,12.7,0.4830458915396479,12.0,13.0,stick
69.5,0.97182531580755,68.0,71.0,34.5,0.5270462766947299,34.0,35.0,236.9,12.287753614428022,223.0,260.0,12.8,0.4216370213557839,12.0,13.0,stick
68.4,0.8432740427115678,67.0,70.0,33.4,1.1737877907772671,32.0,35.0,250.4,28.33215683831909,223.0,306.0,12.6,0.5163977794943223,12.0,13.0,stick
68.0,0.4714045207910317,67.0,69.0,31.6,0.966091783079296,30.0,33.0,271.5,25.180459796349144,227.0,306.0,12.5,0.5270462766947299,12.0,13.0,stick
68.4,0.6992058987801011,68.0,70.0,30.1,0.875595035770913,29.0,31.0,303.8,48.677624337174784,266.0,380.0,12.6,0.5163977794943223,12.0,13.0,stick
69.9,1.7919573407620815,68.0,73.0,30.3,1.888562063228706,27.0,33.0,354.4,87.30050273496585,266.0,572.0,12.8,0.6324555320336759,12.0,14.0,stick
71.6,1.5055453054181618,68.0,73.0,32.3,3.2335051500740737,27.0,40.0,344.3,82.54971566005273,298.0,572.0,13.6,1.2649110640673518,12.0,16.0,stick
72.6,1.0749676997731399,71.0,74.0,31.4,3.339993346633426,29.0,40.0,308.2,7.269418439218123,294.0,320.0,14.3,1.0593499054713802,12.0,16.0,stick
73.0,0.816496580927726,71.0,74.0,29.1,0.7378647873726218,28.0,30.0,302.8,7.465476095557023,294.0,311.0,14.5,0.5270462766947299,14.0,15.0,stick
72.9,1.1972189997378644,72.0,76.0,35.0,7.086763875156433,28.0,43.0,293.7,8.165646194746488,281.0,309.0,15.2,0.9189365834726815,14.0,17.0,stick
72.8,1.3165611772087666,72.0,76.0,48.4,13.226236552146393,34.0,77.0,289.2,5.370702416299421,281.0,297.0,15.3,0.8232726023485647,14.0,17.0,stick
72.1,0.9944289260117531,71.0,74.0,52.2,12.07200618510997,37.0,77.0,287.2,4.341018825626588,283.0,295.0,14.6,0.5163977794943222,14.0,15.0,stick
71.5,0.7071067811865476,71.0,73.0,45.7,6.236986451805071,39.0,59.0,279.8,6.0332412515993425,269.0,286.0,14.4,0.5163977794943223,14.0,15.0,stick
71.3,0.9486832980505138,70.0,73.0,42.0,2.6666666666666665,39.0,46.0,274.7,4.473378042498879,269.0,282.0,14.4,0.5163977794943222,14.0,15.0,stick
70.8,0.9189365834726814,70.0,72.0,43.5,2.758824226207808,39.0,48.0,288.7,19.748698972618705,269.0,319.0,14.7,0.674948557710553,14.0,16.0,stick
70.4,0.8432740427115678,69.0,72.0,48.7,3.8311588035185618,43.0,55.0,310.0,14.181364924121764,282.0,319.0,15.0,0.6666666666666666,14.0,16.0,stick
70.6,0.8432740427115678,69.0,72.0,52.4,2.503331114069145,49.0,57.0,317.4,2.913569784454954,315.0,325.0,15.2,0.7888106377466155,14.0,16.0,stick
71.1,0.7378647873726218,70.0,72.0,55.1,3.0349812373573437,50.0,59.0,339.3,25.13983116711628,315.0,388.0,14.9,0.8755950357709131,14.0,16.0,stick
71.2,0.9189365834726814,70.0,73.0,58.3,2.496664441476534,55.0,63.0,354.6,12.868566353716332,343.0,388.0,14.2,0.42163702135578396,14.0,15.0,stick
70.9,0.9944289260117531,70.0,73.0,59.9,2.960855732160327,56.0,63.0,352.3,4.90011337737313,343.0,360.0,14.1,0.31622776601683794,14.0,15.0,stick
69.9,0.9944289260117531,69.0,72.0,58.2,3.22490309931942,55.0,63.0,360.8,6.088240030309798,353.0,371.0,14.5,0.5270462766947299,14.0,15.0,stick
69.4,0.5163977794943222,69.0,70.0,52.4,4.452215428550399,45.0,57.0,359.6,10.956479564369406,344.0,376.0,14.6,0.5163977794943222,14.0,15.0,stick
70.0,0.6666666666666666,69.0,71.0,45.2,4.516635916254486,40.0,53.0,356.1,13.428411008835788,340.0,376.0,14.4,0.5163977794943223,14.0,15.0,stick
70.6,0.8432740427115678,69.0,72.0,40.4,1.7126976771553508,38.0,44.0,368.0,14.189197769195175,340.0,381.0,14.4,0.5163977794943222,14.0,15.0,stick
74.2,5.672545969648706,69.0,83.0,43.9,8.1574778237176,38.0,56.0,419.0,71.78207761458752,374.0,551.0,14.7,0.8232726023485646,14.0,16.0,stick
80.7,5.437523946307425,70.0,84.0,50.8,7.37563556583431,38.0,56.0,509.3,79.22127940844626,374.0,601.0,15.1,0.8755950357709131,14.0,16.0,stick
82.8,1.3165611772087666,81.0,84.0,49.1,4.976611966656298,44.0,56.0,596.7,52.18780189533438,520.0,667.0,15.3,0.6749485577105528,14.0,16.0,stick
80.8,1.6193277068654823,78.0,83.0,45.2,1.3165611772087666,44.0,48.0,666.5,43.83365018896885,588.0,722.0,15.5,0.5270462766947299,15.0,16.0,stick
79.3,1.2516655570345725,78.0,82.0,46.8,2.3475755815545347,44.0,50.0,676.8,35.66137032326903,609.0,722.0,15.2,0.7888106377466155,14.0,16.0,stick
80.4,1.8973665961010275,78.0,83.0,50.1,2.685351208149711,46.0,54.0,624.4,64.16333324674875,489.0,699.0,14.9,0.5676462121975466,14.0,16.0,stick
