Sensor4_mean,Sensor4_std,Sensor4_min,Sensor4_max,Sensor5_mean,Sensor5_std,Sensor5_min,Sensor5_max,Sensor8_mean,Sensor8_std,Sensor8_min,Sensor8_max,Sensor9_mean,Sensor9_std,Sensor9_min,Sensor9_max,Label
48.5,1.1785113019775793,47.0,51.0,85.0,0.4714045207910317,84.0,86.0,38.0,3.9157800414902435,33.0,43.0,37.3,10.29616973010406,30.0,65.0,tiger
48.2,1.5491933384829668,45.0,51.0,84.6,0.8432740427115678,83.0,86.0,38.1,4.532597979574677,33.0,45.0,37.9,10.071411685227316,32.0,65.0,tiger
47.0,1.699673171197595,45.0,49.0,84.0,0.816496580927726,83.0,85.0,42.8,3.9665266081716046,34.0,46.0,44.2,13.742068419435427,32.0,68.0,tiger
45.8,1.3984117975602022,44.0,49.0,83.5,0.8498365855987975,82.0,85.0,48.2,3.7058512292499457,44.0,56.0,44.6,13.3433295861432,34.0,68.0,tiger
45.6,0.8432740427115678,44.0,47.0,83.0,0.816496580927726,82.0,84.0,57.8,7.671013260609346,49.0,71.0,36.3,2.263232692902394,34.0,41.0,tiger
46.7,1.3374935098492586,45.0,49.0,82.3,0.8232726023485645,81.0,84.0,65.4,3.238655413730965,61.0,71.0,40.8,7.800284895082003,35.0,61.0,tiger
46.8,1.3165611772087666,45.0,49.0,82.0,0.6666666666666666,81.0,83.0,63.7,6.799509786251751,47.0,70.0,50.0,11.775681155103795,35.0,62.0,tiger
45.7,0.8232726023485645,45.0,47.0,81.8,0.9189365834726814,81.0,83.0,64.2,6.924994985958874,47.0,69.0,50.9,10.246408584908611,38.0,62.0,tiger
45.1,0.5676462121975466,44.0,46.0,81.1,0.7378647873726218,80.0,83.0,67.8,2.8205594401741574,63.0,72.0,44.7,9.117138927438926,34.0,62.0,tiger
45.3,0.9486832980505138,44.0,47.0,80.9,0.9944289260117533,80.0,83.0,66.2,3.614784456460256,62.0,72.0,44.7,10.435516278555651,34.0,62.0,tiger
45.3,1.1595018087284057,44.0,47.0,81.1,0.9944289260117529,80.0,83.0,63.4,1.7126976771553508,61.0,67.0,39.9,9.65459015759401,29.0,61.0,tiger
45.5,1.0801234497346435,44.0,47.0,82.3,1.2516655570345725,81.0,84.0,62.4,1.07496769977314,61.0,64.0,34.6,3.025814858109391,29.0,40.0,tiger
46.1,0.9944289260117533,45.0,48.0,82.8,1.1352924243950933,81.0,84.0,61.4,1.505545305418162,59.0,64.0,34.2,2.2509257354845507,32.0,40.0,tiger
46.6,1.0749676997731399,45.0,48.0,82.0,1.247219128924647,80.0,84.0,60.2,1.3165611772087666,59.0,63.0,32.8,1.2292725943057181,30.0,34.0,tiger
46.4,0.9660917830792958,45.0,48.0,82.0,1.0540925533894598,80.0,83.0,59.1,1.449137674618944,56.0,61.0,31.4,1.429840705968481,29.0,34.0,tiger
45.5,0.7071067811865476,45.0,47.0,81.7,1.1595018087284057,79.0,83.0,59.4,1.577621275493231,56.0,62.0,30.6,0.8432740427115679,29.0,32.0,tiger
